id,text,label,author_followers,author_verified,retweets,likes,shares,credibility_score,sentiment
829,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,109312,0,3349,12842,570,0.103,neutral
830,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,176076,1,1660,11466,5675,0.636,neutral
831,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.",real,157196,0,2694,2891,5349,0.392,positive
832,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.",real,288353,1,1941,18740,3873,0.947,neutral
833,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.Public health authorities published peer‑reviewed research explaining
trends observed in vaccination programs and hospital admissions.",real,321095,0,1382,8457,1190,0.811,negative
834,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.According to verified reports from multiple agencies, officials announced policy updates after reviewing
scientific assessments and public data. Independent journalists corroborated the findings.",real,288689,1,200,5374,538,0.463,neutral
835,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.",propaganda,436858,0,4370,15346,7916,0.759,positive
836,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,352103,1,3005,12289,572,0.396,neutral
837,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,154879,1,3411,4250,3757,0.119,positive
838,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,217304,0,1426,18230,1647,0.167,negative
839,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,135283,0,1924,12369,4749,0.278,positive
840,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,398151,0,2586,1855,2754,0.204,neutral
841,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,92205,0,2060,1288,2010,0.62,neutral
842,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,272948,0,4291,16333,3590,0.183,positive
843,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,469096,0,4413,691,1187,0.617,positive
844,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,4290,1,1666,9439,7026,0.703,negative
845,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,295483,0,2778,2025,4517,0.872,neutral
846,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,300368,1,780,17435,7349,0.565,negative
847,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.",real,420413,1,684,16829,5752,0.859,positive
848,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,217652,0,286,3970,332,0.492,negative
849,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,259496,1,3366,17395,4194,0.812,neutral
850,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,493758,1,18,4745,3474,0.53,positive
851,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.",fake,74167,1,4120,18721,2716,0.118,negative
852,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret groups are
controlling elections through hidden satellites and encrypted signals spread across social networks. Experts allegedly
suppressed the evidence while insiders leaked screenshots.",fake,460465,1,1597,14275,2487,0.217,positive
853,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,455694,1,4280,7467,5002,0.869,positive
854,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,39862,1,1643,5330,5363,0.493,neutral
855,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,215271,0,403,17144,1779,0.428,positive
856,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,127882,1,4316,9496,6121,0.166,neutral
857,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,67114,0,4028,11882,4271,0.284,negative
858,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,343491,1,4456,18587,1105,0.62,negative
859,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,185664,0,3736,10350,7728,0.667,neutral
860,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.Public health authorities published peer‑reviewed research explaining
trends observed in vaccination programs and hospital admissions.",real,239170,0,4555,17458,6790,0.222,positive
861,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,395574,0,1226,7826,5997,0.833,positive
862,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,371894,0,90,7820,1150,0.379,neutral
863,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,333358,1,1498,1910,926,0.471,positive
864,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,486997,1,4377,5962,6616,0.32,positive
865,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,143913,1,3967,7901,2135,0.526,negative
866,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,309770,0,2127,7989,1012,0.902,neutral
867,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,412695,1,2456,8158,5956,0.177,neutral
868,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,269743,1,4935,19857,2360,0.58,negative
869,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,369770,1,2546,11173,5265,0.363,positive
870,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,214491,0,4456,4419,6644,0.186,neutral
871,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,166587,1,338,7866,5061,0.532,neutral
872,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.According to verified reports from multiple agencies, officials announced policy updates after reviewing
scientific assessments and public data. Independent journalists corroborated the findings.",real,390493,1,4547,12245,269,0.312,positive
873,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret groups are
controlling elections through hidden satellites and encrypted signals spread across social networks. Experts allegedly
suppressed the evidence while insiders leaked screenshots.",fake,200815,1,4722,3121,798,0.612,positive
874,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,6130,1,265,11938,3115,0.358,positive
875,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,122064,1,3337,16228,95,0.22,neutral
876,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,43944,1,305,9812,7696,0.262,neutral
877,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,499750,1,4842,10347,1940,0.397,positive
878,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,18333,0,3614,7431,392,0.5,positive
879,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.",real,38442,0,3612,18971,6131,0.86,positive
880,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,138683,0,2021,14153,6656,0.439,positive
881,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,262623,1,659,11106,3448,0.355,positive
882,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,452135,0,4666,11732,252,0.561,negative
883,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,391433,0,2340,10630,2783,0.315,neutral
884,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,154491,1,2767,10888,1696,0.251,negative
885,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,137624,0,2134,814,5183,0.334,positive
886,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,324350,0,823,15458,2313,0.463,neutral
887,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,138070,1,1687,13814,402,0.337,neutral
888,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,460654,0,231,7684,3769,0.754,positive
889,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.",real,292173,0,1372,7056,7503,0.373,positive
890,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,69732,0,1163,2378,6472,0.699,neutral
891,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,36347,0,4198,1327,6079,0.917,neutral
892,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,193290,1,3742,15033,5724,0.139,neutral
893,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,446839,0,1256,17506,6671,0.553,negative
894,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.",real,179438,0,1864,19189,7789,0.316,positive
895,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.",propaganda,483767,1,2285,8462,3775,0.424,positive
896,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,61120,1,1435,11894,4626,0.884,neutral
897,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,221473,0,3785,19190,6929,0.315,positive
898,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,396714,0,2317,13921,703,0.496,positive
899,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,85922,1,4870,12007,3827,0.26,neutral
900,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.",real,380138,0,582,15861,1579,0.113,positive
901,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.",real,455550,0,2301,33,4646,0.402,negative
902,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.",fake,122549,0,2487,7642,7376,0.883,neutral
903,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,327501,1,2653,6845,906,0.946,negative
904,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,64624,1,3746,12124,1553,0.537,positive
905,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,138446,1,4614,6399,1388,0.835,negative
906,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,389327,1,3259,17651,691,0.377,neutral
907,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,133036,1,148,5430,543,0.373,neutral
908,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.",real,465960,0,4132,16230,1056,0.103,neutral
909,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.",fake,222318,1,1213,17957,347,0.731,negative
910,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,97337,1,266,18171,6146,0.321,negative
911,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,56539,0,2196,19166,1734,0.409,neutral
912,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,275685,0,3624,11616,1252,0.416,positive
